source_row,alias,matched_product_id,matched_product_name,match_type,confidence
20.11.:63,32 гвозди,1200,№32 Гвозди усиленные для монтажного пистолета,exact,1.0
20.11.:64,Биты если есть средние две,1225,Бита магнитная KRAFTOOL PH2*100мм,exact,1.0
20.11.:65,Закладная пол накладной светильник 2 шт. Подвесов 20шт,76,Платформа под пожарный датчик/спот 120мм,exact,1.0
20.11.:66,Закладная пол накладной светильник 2 шт. Подвесов 20шт,1160,Подвес прямой 0.07 * 300мм,exact,1.0
25.11.:3,Уголки 150х200 3шт,1165,Кронштейн (уголок металлический) 150х200 белый (6/8) 288 шт/уп,exact,1.0
25.11.:5,Кольца 40мм 15шт,92,Протекторное кольцо - D 040мм,exact,1.0
25.11.:6,Кольца 90мм: 30шт,101,Протекторное кольцо - D 090мм,exact,1.0
25.11.:7,Кольца 95мм: 30шт,102,Протекторное кольцо - D 095мм,exact,1.0
25.11.:8,Ваго 2-ные 50шт,1202,Ваго 2х канальные,exact,1.0
25.11.:9,Кольца 20мм: 15шт,88,Протекторное кольцо - D 020мм,exact,1.0
25.11.:11,Вент решетка пластик 100д + кольцо 2шт,300,Вентиляционная решетка с кольцом 100 мм белый PROFI,exact,1.0
25.11.:15,Кронштейны 150мм: 40шт,1164,Кронштейн (уголок металлический) 125х150 белый (5/6) 288 шт/уп,exact,1.0
25.11.:16,Закладная под датчик из фанеры 2 шт,223,Платформа из фанеры 12мм под датчик/спот круг D120мм вырез d30мм,exact,1.0
25.11.:17,Быстрый монтаж 1 шт,70,Круглая универсальная платформа с пластиной для моментальной сборки 060-110мм,exact,1.0
25.11.:19,Уголки регулировочные флекси 20 шт,1175,Уголок регулируемый монтажный FLEXY 30*90мм,exact,1.0
25.11.:21,Световые линии 30- 6 метров,474,SCREEN 30 Экран светорассеивающий поликарбонат,exact,1.0
25.11.:22,Световые линии 30- 6 метров,392,TOREC 30 Торцевая заглушка черный пластик для световой линии FLEXY LINE 30 ПФ 6838,exact,1.0
25.11.:24,Уголки 90 градусов 2 шт к линиям,448,L - образный элемент FLEXY LINE 30 ПФ 6838,exact,1.0
25.11.:25,Люстровые закладные 2 шт из фанеры,225,Платформа из фанеры 12мм под люстру квадрат 280*280мм с вырезом d40мм,exact,1.0
25.11.:26,Рушка 12 метров,46,"Вставка RU узкая для ПК14, ПК16, АМ1 - Белая",exact,1.0
25.11.:27,Крокс 2 тюбика,1231,"Клей Kroxx/Крокс ""301"" - 20гр.",exact,1.0
25.11.:28,Профиль простой 70 метров,701,Профиль СТАНДАРТ (135г/м) АЛ стеновой гарпунный перфорированный 2.0м АТ-2461/М,exact,1.0
25.11.:29,Закладная из фанеры люстровая -2 шт,225,Платформа из фанеры 12мм под люстру квадрат 280*280мм с вырезом d40мм,exact,1.0
25.11.:30,Быстрый монтаж 21 шт,70,Круглая универсальная платформа с пластиной для моментальной сборки 060-110мм,exact,1.0
